VARIABLE_NAME,VARIABLE_VALUE
DEFAULT_STORAGE_ENGINE,InnoDB
INNODB_BACKGROUND_SCRUB_DATA_COMPRESSED,OFF
DELAYED_INSERT_LIMIT,100
GROUP_CONCAT_MAX_LEN,1048576
BINLOG_FILE_CACHE_SIZE,16384
RANGE_ALLOC_BLOCK_SIZE,4096
SLOW_QUERY_LOG,OFF
VERSION_COMMENT,MariaDB Server
BIND_ADDRESS,::
INNODB_TMPDIR,<blank>
PERFORMANCE_SCHEMA_EVENTS_TRANSACTIONS_HISTORY_SIZE,-1
INNODB_ENCRYPTION_THREADS,0
LC_MESSAGES_DIR,<blank>
MYISAM_RECOVER_OPTIONS,"BACKUP,QUICK"
COLUMN_COMPRESSION_ZLIB_LEVEL,6
RPL_SEMI_SYNC_MASTER_TIMEOUT,10000
PERFORMANCE_SCHEMA_EVENTS_STAGES_HISTORY_LONG_SIZE,-1
LOW_PRIORITY_UPDATES,OFF
CHARACTER_SET_RESULTS,utf8mb4
REPORT_PASSWORD,<blank>
ARIA_FORCE_START_AFTER_RECOVERY_FAILURES,0
WSREP_DBUG_OPTION,<blank>
CHARACTER_SET_CONNECTION,utf8mb4
SQL_BIG_SELECTS,ON
JOIN_BUFFER_SIZE,4194304
TRANSACTION_ALLOC_BLOCK_SIZE,8192
OPTIMIZER_PRUNE_LEVEL,1
INNODB_FLUSHING_AVG_LOOPS,30
EXPLICIT_DEFAULTS_FOR_TIMESTAMP,OFF
SYNC_FRM,ON
COMPLETION_TYPE,NO_CHAIN
BINLOG_ROW_METADATA,NO_LOG
DATADIR,/var/lib/mysql/
INNODB_SCRUB_LOG,OFF
KEY_CACHE_AGE_THRESHOLD,300
INNODB_IO_CAPACITY_MAX,20000
CHECK_CONSTRAINT_CHECKS,ON
INNODB_IO_CAPACITY,16000
PERFORMANCE_SCHEMA_EVENTS_TRANSACTIONS_HISTORY_LONG_SIZE,-1
WSREP_CLUSTER_ADDRESS,<blank>
LOG_BIN_COMPRESS_MIN_LEN,256
INNODB_LOG_GROUP_HOME_DIR,./
PERFORMANCE_SCHEMA_DIGESTS_SIZE,-1
QUERY_CACHE_LIMIT,1048576
WSREP_START_POSITION,00000000-0000-0000-0000-000000000000:-1
INNODB_COMPRESSION_DEFAULT,OFF
PERFORMANCE_SCHEMA_MAX_THREAD_INSTANCES,-1
INNODB_AUTOEXTEND_INCREMENT,64
AUTO_INCREMENT_OFFSET,1
MYISAM_DATA_POINTER_SIZE,6
TMP_TABLE_SIZE,134217728
RPL_SEMI_SYNC_SLAVE_DELAY_MASTER,OFF
AUTOMATIC_SP_PRIVILEGES,ON
SQL_AUTO_IS_NULL,OFF
CONCURRENT_INSERT,AUTO
ARIA_USED_FOR_TEMP_TABLES,ON
FT_QUERY_EXPANSION_LIMIT,20
HAVE_GEOMETRY,YES
PERFORMANCE_SCHEMA_MAX_PROGRAM_INSTANCES,-1
WSREP_RETRY_AUTOCOMMIT,1
KEY_CACHE_FILE_HASH_SIZE,512
INNODB_STATUS_OUTPUT_LOCKS,OFF
LOCK_WAIT_TIMEOUT,86400
QUERY_PREALLOC_SIZE,24576
MAX_USER_CONNECTIONS,0
SORT_BUFFER_SIZE,4194304
MAX_BINLOG_SIZE,1073741824
INNODB_ROLLBACK_ON_TIMEOUT,OFF
DELAY_KEY_WRITE,ON
STANDARD_COMPLIANT_CTE,ON
PERFORMANCE_SCHEMA_EVENTS_WAITS_HISTORY_LONG_SIZE,-1
ARIA_REPAIR_THREADS,1
MAX_STATEMENT_TIME,0.000000
JOIN_BUFFER_SPACE_LIMIT,2097152
PERFORMANCE_SCHEMA_MAX_STATEMENT_STACK,10
INNODB_FILE_FORMAT,<blank>
PERFORMANCE_SCHEMA_MAX_TABLE_INSTANCES,-1
PROGRESS_REPORT_TIME,5
RELAY_LOG_PURGE,ON
REPLICATE_WILD_DO_TABLE,<blank>
COLUMN_COMPRESSION_ZLIB_WRAP,OFF
MAX_ALLOWED_PACKET,16777216
CHARACTER_SET_SYSTEM,utf8
CHARACTER_SET_SERVER,utf8mb4
SLAVE_MAX_ALLOWED_PACKET,1073741824
MAX_CONNECT_ERRORS,5
INNODB_TABLE_LOCKS,ON
CHARACTER_SETS_DIR,/usr/share/mysql/charsets/
REPLICATE_IGNORE_TABLE,<blank>
SYSTEM_TIME_ZONE,UTC
BINLOG_DIRECT_NON_TRANSACTIONAL_UPDATES,OFF
MAX_CONNECTIONS,1000
INNODB_STRICT_MODE,OFF
CONNECT_TIMEOUT,300
ARIA_PAGE_CHECKSUM,ON
MAX_HEAP_TABLE_SIZE,134217728
WSREP_REJECT_QUERIES,NONE
FT_STOPWORD_FILE,(built-in)
IDLE_TRANSACTION_TIMEOUT,0
EXPIRE_LOGS_DAYS,0
LOG_SLOW_VERBOSITY,<blank>
DELAYED_QUEUE_SIZE,1000
THREAD_POOL_IDLE_TIMEOUT,60
FT_MAX_WORD_LEN,84
INNODB_LOCK_SCHEDULE_ALGORITHM,fcfs
MAX_DIGEST_LENGTH,1024
PERFORMANCE_SCHEMA_MAX_TABLE_LOCK_STAT,-1
DISCONNECT_ON_EXPIRED_PASSWORD,OFF
TABLE_OPEN_CACHE_INSTANCES,1
TX_ISOLATION,REPEATABLE-READ
RELAY_LOG_INFO_FILE,relay-log.info
SYSTEM_VERSIONING_ASOF,DEFAULT
INNODB_AUTOINC_LOCK_MODE,1
PERFORMANCE_SCHEMA_MAX_MEMORY_CLASSES,320
LC_MESSAGES,en_US
LOG_SLOW_ADMIN_STATEMENTS,ON
INNODB_MAX_PURGE_LAG_WAIT,4294967295
LOWER_CASE_FILE_SYSTEM,OFF
INNODB_BUFFER_POOL_FILENAME,ib_buffer_pool
SLAVE_PARALLEL_THREADS,0
INNODB_MAX_PURGE_LAG_DELAY,0
WSREP_FORCED_BINLOG_FORMAT,NONE
INNODB_BUFFER_POOL_DUMP_NOW,OFF
PERFORMANCE_SCHEMA_MAX_SOCKET_CLASSES,10
INNODB_BACKGROUND_SCRUB_DATA_INTERVAL,0
THREAD_HANDLING,one-thread-per-connection
INNODB_STATUS_OUTPUT,OFF
NET_RETRY_COUNT,10
INNODB_UNDO_LOG_TRUNCATE,OFF
CHARACTER_SET_CLIENT,utf8mb4
INNODB_ADAPTIVE_HASH_INDEX,OFF
MAX_PASSWORD_ERRORS,4294967295
INNODB_ENCRYPT_LOG,OFF
SOCKET,/var/lib/mysql/mysql.sock
VERSION_SSL_LIBRARY,OpenSSL 1.0.2k-fips  26 Jan 2017
STORED_PROGRAM_CACHE,256
FLUSH,OFF
SSL_CRL,<blank>
INIT_SLAVE,<blank>
AUTO_INCREMENT_INCREMENT,1
BINLOG_STMT_CACHE_SIZE,32768
MAX_SESSION_MEM_USED,9223372036854775807
LOG_BIN_COMPRESS,OFF
WSREP_DATA_HOME_DIR,/var/lib/mysql/
RELAY_LOG_RECOVERY,OFF
INNODB_LOG_COMPRESSED_PAGES,ON
LONG_QUERY_TIME,10.000000
INNODB_DISABLE_SORT_FILE_CACHE,OFF
MYISAM_MMAP_SIZE,18446744073709551615
INNODB_ENCRYPTION_ROTATION_IOPS,100
HAVE_DYNAMIC_LOADING,YES
COLLATION_CONNECTION,utf8mb4_unicode_ci
WSREP_SST_METHOD,rsync
LOG_WARNINGS,1
INNODB_PRINT_ALL_DEADLOCKS,OFF
PERFORMANCE_SCHEMA_MAX_STATEMENT_CLASSES,228
INNODB_STATS_TRADITIONAL,ON
MAX_BINLOG_CACHE_SIZE,18446744073709547520
LOG_SLOW_DISABLED_STATEMENTS,sp
OLD_PASSWORDS,OFF
INNODB_MAX_DIRTY_PAGES_PCT,90.000000
NET_WRITE_TIMEOUT,60
PERFORMANCE_SCHEMA_MAX_METADATA_LOCKS,-1
PERFORMANCE_SCHEMA_HOSTS_SIZE,-1
KEY_BUFFER_SIZE,2147483648
MAX_SORT_LENGTH,1024
INNODB_INSTANT_ALTER_COLUMN_ALLOWED,add_drop_reorder
WSREP_MYSQL_REPLICATION_BUNDLE,0
COLUMN_COMPRESSION_ZLIB_STRATEGY,DEFAULT_STRATEGY
SYNC_RELAY_LOG,10000
MAX_WRITE_LOCK_COUNT,4294967295
INNODB_DEFAULT_ENCRYPTION_KEY_ID,1
LARGE_PAGES,OFF
INNODB_MAX_UNDO_LOG_SIZE,10485760
PERFORMANCE_SCHEMA_MAX_SQL_TEXT_LENGTH,1024
MAX_ROWID_FILTER_SIZE,131072
PERFORMANCE_SCHEMA_MAX_FILE_INSTANCES,-1
SLAVE_NET_TIMEOUT,60
BULK_INSERT_BUFFER_SIZE,8388608
PLUGIN_DIR,/usr/lib64/mysql/plugin/
OPTIMIZER_TRACE_MAX_MEM_SIZE,1048576
THREAD_POOL_PRIORITY,auto
KEY_CACHE_DIVISION_LIMIT,100
LICENSE,GPL
RPL_SEMI_SYNC_MASTER_ENABLED,OFF
INNODB_ADAPTIVE_FLUSHING_LWM,10.000000
QUERY_CACHE_SIZE,0
INNODB_DEFRAGMENT_FREQUENCY,40
GTID_SLAVE_POS,<blank>
SQL_WARNINGS,OFF
WSREP_SLAVE_UK_CHECKS,OFF
STRICT_PASSWORD_VALIDATION,ON
METADATA_LOCKS_HASH_INSTANCES,8
INNODB_SYNC_ARRAY_SIZE,1
BINLOG_COMMIT_WAIT_USEC,100000
WSREP_GTID_DOMAIN_ID,0
READ_BUFFER_SIZE,4194304
THREAD_POOL_STALL_LIMIT,500
WSREP_STRICT_DDL,OFF
PERFORMANCE_SCHEMA_MAX_SOCKET_INSTANCES,-1
PID_FILE,/var/lib/mysql/mysql.pid
TX_READ_ONLY,OFF
TLS_VERSION,"TLSv1.1,TLSv1.2,TLSv1.3"
INNODB_RANDOM_READ_AHEAD,OFF
MIN_EXAMINED_ROW_LIMIT,0
INNODB_UNDO_LOGS,128
INNODB_STATS_PERSISTENT_SAMPLE_PAGES,20
PORT,3306
FLUSH_TIME,0
QUERY_CACHE_WLOCK_INVALIDATE,OFF
GTID_BINLOG_STATE,<blank>
LOG_BIN_TRUST_FUNCTION_CREATORS,OFF
RPL_SEMI_SYNC_MASTER_TRACE_LEVEL,32
INNODB_MONITOR_DISABLE,<blank>
THREAD_POOL_MAX_THREADS,65536
MYISAM_BLOCK_SIZE,1024
SYNC_BINLOG,0
MAX_BINLOG_STMT_CACHE_SIZE,18446744073709547520
OLD_ALTER_TABLE,DEFAULT
ENCRYPT_TMP_FILES,OFF
LOG_OUTPUT,FILE
INNODB_SPIN_WAIT_DELAY,4
QUERY_CACHE_TYPE,OFF
INNODB_STATS_INCLUDE_DELETE_MARKED,OFF
WSREP_NODE_INCOMING_ADDRESS,AUTO
INNODB_DEFRAGMENT_STATS_ACCURACY,0
LC_TIME_NAMES,en_US
INNODB_LOCK_WAIT_TIMEOUT,50
MAX_INSERT_DELAYED_THREADS,20
INNODB_OLD_BLOCKS_TIME,1000
RPL_SEMI_SYNC_MASTER_WAIT_NO_SLAVE,ON
BINLOG_CACHE_SIZE,32768
THREAD_POOL_DEDICATED_LISTENER,OFF
INNODB_COMPRESSION_FAILURE_THRESHOLD_PCT,5
MYSQL56_TEMPORAL_FORMAT,ON
LOCKED_IN_MEMORY,OFF
LOG_QUERIES_NOT_USING_INDEXES,OFF
INNODB_LRU_FLUSH_SIZE,32
INNODB_LOG_OPTIMIZE_DDL,OFF
INNODB_DISALLOW_WRITES,OFF
INNODB_PREFIX_INDEX_CLUSTER_OPTIMIZATION,OFF
VERSION_MALLOC_LIBRARY,system
REPLICATE_DO_TABLE,<blank>
SKIP_EXTERNAL_LOCKING,ON
SLAVE_SKIP_ERRORS,OFF
SKIP_NETWORKING,OFF
INNODB_BUFFER_POOL_DUMP_PCT,90
WSREP_NOTIFY_CMD,<blank>
INNODB_ENCRYPT_TABLES,OFF
INIT_CONNECT,<blank>
COLLATION_DATABASE,utf8mb4_unicode_ci
TABLE_DEFINITION_CACHE,2097152
INNODB_MONITOR_ENABLE,<blank>
ARIA_GROUP_COMMIT,none
INNODB_LOG_BUFFER_SIZE,16777216
SLAVE_RUN_TRIGGERS_FOR_RBR,NO
HOST_CACHE_SIZE,653
SLAVE_PARALLEL_WORKERS,0
INNODB_MAX_PURGE_LAG,0
MAX_DELAYED_THREADS,20
MYISAM_MAX_SORT_FILE_SIZE,9223372036853727232
METADATA_LOCKS_CACHE_SIZE,1024
INNODB_LRU_SCAN_DEPTH,1536
WSREP_LOG_CONFLICTS,OFF
HOSTNAME,us-gcp1-web272.main-hosting.eu
OLD_MODE,<blank>
DEFAULT_PASSWORD_LIFETIME,0
DEFAULT_REGEX_FLAGS,<blank>
OLD,OFF
HISTOGRAM_TYPE,DOUBLE_PREC_HB
THREAD_CACHE_SIZE,300
HAVE_COMPRESS,YES
TCP_KEEPALIVE_INTERVAL,0
INNODB_USE_ATOMIC_WRITES,ON
MASTER_VERIFY_CHECKSUM,OFF
PROXY_PROTOCOL_NETWORKS,<blank>
GTID_CURRENT_POS,<blank>
INNODB_DOUBLEWRITE,ON
BINLOG_FORMAT,MIXED
INNODB_STATS_PERSISTENT,ON
ANALYZE_SAMPLE_PERCENTAGE,100.000000
DEFAULT_WEEK_FORMAT,0
KEEP_FILES_ON_CREATE,OFF
INNODB_CHANGE_BUFFER_MAX_SIZE,25
FT_BOOLEAN_SYNTAX,"+ -><()~*:""""&|"
INNODB_DEFAULT_ROW_FORMAT,dynamic
SLAVE_DDL_EXEC_MODE,IDEMPOTENT
INNODB_USE_NATIVE_AIO,ON
CHARACTER_SET_DATABASE,utf8mb4
HAVE_PROFILING,YES
DATE_FORMAT,%Y-%m-%d
INNODB_UNDO_TABLESPACES,0
GTID_DOMAIN_ID,0
INNODB_BUF_DUMP_STATUS_FREQUENCY,0
DEADLOCK_SEARCH_DEPTH_SHORT,4
SLAVE_COMPRESSED_PROTOCOL,OFF
INNODB_FT_MIN_TOKEN_SIZE,3
PERFORMANCE_SCHEMA_MAX_FILE_CLASSES,80
INNODB_FT_USER_STOPWORD_TABLE,<blank>
WSREP_SLAVE_FK_CHECKS,ON
SERVER_ID,1
HAVE_QUERY_CACHE,YES
ARIA_MAX_SORT_FILE_SIZE,9223372036853727232
SLAVE_TRANSACTION_RETRIES,10
INNODB_TEMP_DATA_FILE_PATH,ibtmp1:12M:autoextend
MAX_RECURSIVE_ITERATIONS,4294967295
INNODB_SCRUB_LOG_SPEED,256
LOG_ERROR,<blank>
ARIA_SYNC_LOG_DIR,NEWFILE
SECURE_FILE_PRIV,<blank>
INNODB_FT_ENABLE_STOPWORD,ON
MYISAM_REPAIR_THREADS,1
INNODB_BACKGROUND_SCRUB_DATA_CHECK_INTERVAL,0
TMP_DISK_TABLE_SIZE,3221225472
ARIA_GROUP_COMMIT_INTERVAL,0
OPEN_FILES_LIMIT,100000
PROFILING_HISTORY_SIZE,15
INNODB_LOG_FILES_IN_GROUP,1
INNODB_CHANGE_BUFFERING,all
TIME_FORMAT,%H:%i:%s
INNODB_STATS_MODIFIED_COUNTER,0
PROTOCOL_VERSION,10
BINLOG_OPTIMIZE_THREAD_SCHEDULING,ON
CHARACTER_SET_FILESYSTEM,binary
ENCRYPT_BINLOG,OFF
RELAY_LOG,<blank>
SQL_SELECT_LIMIT,18446744073709551615
GENERAL_LOG,OFF
ARIA_STATS_METHOD,nulls_unequal
WSREP_DEBUG,NONE
NET_BUFFER_LENGTH,16384
SLAVE_SQL_VERIFY_CHECKSUM,ON
INNODB_COMPRESSION_ALGORITHM,zlib
SLAVE_TRANSACTION_RETRY_INTERVAL,0
PLUGIN_MATURITY,gamma
HAVE_CRYPT,YES
INNODB_PURGE_THREADS,1
WSREP_SLAVE_THREADS,1
PROFILING,OFF
HAVE_OPENSSL,YES
ARIA_PAGECACHE_BUFFER_SIZE,4294967296
WSREP_ON,OFF
EXPENSIVE_SUBQUERY_LIMIT,100
WAIT_TIMEOUT,300
INNODB_BUFFER_POOL_DUMP_AT_SHUTDOWN,ON
OPTIMIZER_MAX_SEL_ARG_WEIGHT,32000
SSL_CRLPATH,<blank>
SSL_CA,<blank>
DEADLOCK_SEARCH_DEPTH_LONG,15
SESSION_TRACK_SCHEMA,ON
MRR_BUFFER_SIZE,262144
INNODB_LOG_FILE_SIZE,2147483648
INNODB_MAX_DIRTY_PAGES_PCT_LWM,0.000000
SQL_NOTES,ON
IDLE_WRITE_TRANSACTION_TIMEOUT,0
WSREP_MAX_WS_SIZE,2147483647
FOREIGN_KEY_CHECKS,ON
INNODB_MONITOR_RESET,<blank>
SQL_BUFFER_RESULT,OFF
INNODB_STATS_AUTO_RECALC,ON
PERFORMANCE_SCHEMA_MAX_DIGEST_LENGTH,1024
INNODB_COMMIT_CONCURRENCY,0
OPTIMIZER_SWITCH,"index_merge=on,index_merge_union=on,index_merge_sort_union=on,index_merge_intersection=on,index_merge_sort_intersection=off,engine_condition_pushdown=off,index_condition_pushdown=on,derived_merge=on,derived_with_keys=on,firstmatch=on,loosescan=on,materialization=on,in_to_exists=on,semijoin=on,partial_match_rowid_merge=on,partial_match_table_scan=on,subquery_cache=on,mrr=off,mrr_cost_based=off,mrr_sort_keys=off,outer_join_with_cache=on,semijoin_with_cache=on,join_cache_incremental=on,join_cache_hashed=on,join_cache_bka=on,optimize_join_buffer_size=on,table_elimination=on,extended_keys=on,exists_to_in=on,orderby_uses_equalities=on,condition_pushdown_for_derived=on,split_materialized=on,condition_pushdown_for_subquery=on,rowid_filter=on,condition_pushdown_from_having=on,not_null_range_scan=off"
INNODB_CONCURRENCY_TICKETS,0
BINLOG_COMMIT_WAIT_COUNT,0
INNODB_FATAL_SEMAPHORE_WAIT_THRESHOLD,600
COLLATION_SERVER,utf8mb4_unicode_ci
INNODB_PAGE_CLEANERS,1
RELAY_LOG_BASENAME,<blank>
INNODB_FT_SORT_PLL_DEGREE,2
WSREP_CLUSTER_NAME,my_wsrep_cluster
SESSION_TRACK_TRANSACTION_INFO,OFF
LOG_BIN_INDEX,<blank>
INNODB_FILL_FACTOR,100
NET_READ_TIMEOUT,30
INNODB_ADAPTIVE_FLUSHING,ON
LOG_BIN_BASENAME,<blank>
INNODB_FILE_PER_TABLE,ON
MAX_JOIN_SIZE,18446744073709551615
EXTRA_PORT,0
GTID_STRICT_MODE,OFF
ARIA_BLOCK_SIZE,8192
SLAVE_PARALLEL_MAX_QUEUED,131072
THREAD_POOL_PRIO_KICKUP_TIMER,1000
SECURE_AUTH,ON
INNODB_DATA_HOME_DIR,<blank>
WSREP_PATCH_VERSION,wsrep_26.22
INNODB_READ_IO_THREADS,4
REPLICATE_IGNORE_DB,<blank>
INNODB_WRITE_IO_THREADS,4
IGNORE_BUILTIN_INNODB,OFF
INNODB_BUFFER_POOL_INSTANCES,1
PRELOAD_BUFFER_SIZE,32768
INNODB_UNDO_DIRECTORY,./
THREAD_POOL_EXACT_STATS,OFF
BIG_TABLES,OFF
SYNC_RELAY_LOG_INFO,10000
INNODB_FT_RESULT_CACHE_LIMIT,2000000000
REPORT_PORT,3306
WSREP_SYNC_WAIT,0
TCP_KEEPALIVE_PROBES,0
WSREP_IGNORE_APPLY_ERRORS,7
JOIN_CACHE_LEVEL,2
INNODB_ENCRYPTION_ROTATE_KEY_AGE,1
WSREP_RESTART_SLAVE,OFF
OPTIMIZER_TRACE,enabled=off
VERSION_SOURCE_REVISION,b5569b62408375f35e2fe851158a7ff17e378ed1
REQUIRE_SECURE_TRANSPORT,OFF
WSREP_PROVIDER,none
INNODB_READ_AHEAD_THRESHOLD,56
EXTRA_MAX_CONNECTIONS,1
INNODB_READ_ONLY,OFF
SQL_SLAVE_SKIP_COUNTER,0
INNODB_IMMEDIATE_SCRUB_DATA_UNCOMPRESSED,OFF
INNODB_MONITOR_RESET_ALL,<blank>
TABLE_OPEN_CACHE,49485
INNODB_OPTIMIZE_FULLTEXT_ONLY,OFF
LOWER_CASE_TABLE_NAMES,0
INNODB_STATS_METHOD,nulls_equal
VERSION_COMPILE_MACHINE,<blank>
SSL_CIPHER,<blank>
HAVE_SSL,DISABLED
LOG_SLOW_RATE_LIMIT,1
WSREP_CERTIFY_NONPK,ON
INNODB_THREAD_CONCURRENCY,0
THREAD_POOL_SIZE,30
INNODB_BACKGROUND_SCRUB_DATA_UNCOMPRESSED,OFF
WSREP_MAX_WS_ROWS,0
INNODB_BUFFER_POOL_SIZE,5100273664
LOG_DISABLED_STATEMENTS,sp
LOCAL_INFILE,OFF
DIV_PRECISION_INCREMENT,4
INNODB_BUFFER_POOL_LOAD_NOW,OFF
DATETIME_FORMAT,%Y-%m-%d %H:%i:%s
IGNORE_DB_DIRS,<blank>
REPORT_USER,<blank>
BINLOG_CHECKSUM,CRC32
QUERY_CACHE_STRIP_COMMENTS,OFF
INNODB_PAGE_SIZE,16384
WSREP_TRX_FRAGMENT_SIZE,0
ARIA_ENCRYPT_TABLES,OFF
DEFAULT_TMP_STORAGE_ENGINE,<blank>
PERFORMANCE_SCHEMA_EVENTS_STATEMENTS_HISTORY_LONG_SIZE,-1
BINLOG_ANNOTATE_ROW_EVENTS,ON
RPL_SEMI_SYNC_MASTER_WAIT_POINT,AFTER_COMMIT
LOG_SLOW_SLAVE_STATEMENTS,ON
ARIA_CHECKPOINT_LOG_ACTIVITY,1048576
SQL_IF_EXISTS,OFF
INNODB_FLUSH_LOG_AT_TRX_COMMIT,2
SSL_CERT,<blank>
WSREP_PROVIDER_OPTIONS,<blank>
PERFORMANCE_SCHEMA_MAX_FILE_HANDLES,32768
MAX_PREPARED_STMT_COUNT,16382
WSREP_CONVERT_LOCK_TO_TRX,OFF
WSREP_SST_DONOR,<blank>
WSREP_NODE_NAME,us-gcp1-web272.main-hosting.eu
INNODB_COMPRESSION_PAD_PCT_MAX,50
WSREP_LOAD_DATA_SPLITTING,OFF
GENERAL_LOG_FILE,us-gcp1-web272.log
DEADLOCK_TIMEOUT_SHORT,10000
WSREP_GTID_MODE,OFF
ROWID_MERGE_BUFF_SIZE,8388608
DELAYED_INSERT_TIMEOUT,300
WSREP_CAUSAL_READS,OFF
COLUMN_COMPRESSION_THRESHOLD,100
INNODB_CMP_PER_INDEX_ENABLED,OFF
SLAVE_TYPE_CONVERSIONS,<blank>
INNODB_ONLINE_ALTER_LOG_MAX_SIZE,134217728
ARIA_PAGECACHE_DIVISION_LIMIT,100
UPDATABLE_VIEWS_WITH_LIMIT,YES
INNODB_DEFRAGMENT,OFF
MAX_TMP_TABLES,32
IN_PREDICATE_CONVERSION_THRESHOLD,1000
QUERY_ALLOC_BLOCK_SIZE,16384
WSREP_REPLICATE_MYISAM,OFF
SQL_LOG_OFF,OFF
SQL_QUOTE_SHOW_CREATE,ON
INNODB_BUFFER_POOL_CHUNK_SIZE,134217728
WSREP_NODE_ADDRESS,<blank>
SLOW_QUERY_LOG_FILE,us-gcp1-web272-slow.log
WSREP_CERTIFICATION_RULES,strict
REPLICATE_DO_DB,<blank>
PERFORMANCE_SCHEMA_MAX_TABLE_HANDLES,-1
INNODB_BUFFER_POOL_LOAD_ABORT,OFF
SLAVE_EXEC_MODE,STRICT
MYISAM_STATS_METHOD,NULLS_UNEQUAL
INIT_FILE,<blank>
MYISAM_SORT_BUFFER_SIZE,67108864
INTERACTIVE_TIMEOUT,300
INNODB_OLD_BLOCKS_PCT,37
MAX_ERROR_COUNT,64
SLAVE_LOAD_TMPDIR,/dev/shm
FT_MIN_WORD_LEN,4
LOG_TC_SIZE,24576
SLAVE_PARALLEL_MODE,optimistic
INNODB_FT_TOTAL_CACHE_SIZE,640000000
SKIP_SHOW_DATABASE,OFF
RELAY_LOG_INDEX,<blank>
AUTOCOMMIT,ON
WSREP_SST_DONOR_REJECTS_QUERIES,OFF
EQ_RANGE_INDEX_DIVE_LIMIT,200
WSREP_SST_AUTH,<blank>
KEY_CACHE_BLOCK_SIZE,1024
STORAGE_ENGINE,InnoDB
ARIA_CHECKPOINT_INTERVAL,30
INNODB_FLUSH_METHOD,O_DIRECT
TRANSACTION_PREALLOC_SIZE,4096
SQL_SAFE_UPDATES,OFF
VERSION_COMPILE_OS,Linux
RPL_SEMI_SYNC_SLAVE_ENABLED,OFF
BINLOG_ROW_IMAGE,FULL
MYISAM_USE_MMAP,OFF
ENCRYPT_TMP_DISK_TABLES,OFF
INNODB_BUFFER_POOL_LOAD_AT_STARTUP,ON
INNODB_FT_CACHE_SIZE,8000000
VERSION,10.5.12-MariaDB-cll-lve
IDLE_READONLY_TRANSACTION_TIMEOUT,0
GTID_BINLOG_POS,<blank>
REPLICATE_EVENTS_MARKED_FOR_SKIP,REPLICATE
LOG_SLAVE_UPDATES,OFF
INNODB_FLUSH_SYNC,ON
DEADLOCK_TIMEOUT_LONG,50000000
WSREP_OSU_METHOD,TOI
RELAY_LOG_SPACE_LIMIT,0
INNODB_OPEN_FILES,49485
DEBUG_NO_THREAD_ALARM,OFF
TCP_NODELAY,ON
