id,link,title,keyword,description
59,transport.php,Transport Services,Facilities facility Transport Services,The campus offers bus facility to studens comming from distant place with in Pune City. Buses with the capacity of 25-30 seats pass through the different routs so as to cover major areas and colonies of pune. 
60,wifi_campus.php,Wi-Fi campus,Facilities facility Wi-Fi campus,"Wi-Fi Campus\r\n\r\nThe entire campus is Wi-Fi enabled with a high speed internet connection to allow the students to access the internet no-matter wherever they are. The coverage of Wi-Fi is not only restricted to class rooms but also extends to all the areas including library, Auditorium, cafeteria, and hostels. "
61,virtual_campus.php,Virtual Class Room,Facilities facility Virtual Class Room VC vc,"Virtual Class Room\r\n\r\nJSPM has central studio, which is connected to all JSPM's institutes. Every institute has got Virtual class room, with LED screen, through this facility. Video conferencing & guest lectures are arranged for students & staff. Faculty members of different institutes of JSPM are encouraged to deliver lectures "
62,gallery.php,Photo Gallary,Photo Gallery Gallary,Photo Gallery -College Events Photos
63,guidance_to_new_comers.php,Guidance to New Comers ,students corner Guidance to New Comers ,"Information technology is a growing field that offers relatively secure positions for those with solid technical skills and at least a bachelor's degree in an IT-related field. From support to engineering, there are several specializations "
64,student_corner_services.php,Services,Student Corner Services,<blank>
65,student_facilities.php,Student Corner facilities,Student Corner facilities,<blank>
66,day_schedule.php,Day Schedule,Day Schedule student corner time table,Day Schedule student corner time table
67,students_associations.php,Student's Association ,Student's Association corner,\r\nNational Seminar Association\r\n\r\nThis association helps to organise state level and national level seminar for enhancing the knowledge and coordinating different activities. The prime motto of this association is “Knowledge beyond Books. Knowledge beyond Boundaries!”.
68,co_curricular_activities.php,Co-Curricular Activities,Co-Curricular Activities student corner,"Co Curricular Activities can be the paths for students to develop their interest and talents within their scope of studies. Organizing various activities or projects, indirectly, expose students to the real world, work culture and genuine challenges. "
69,extra_curricular_activities.php,Extra-Curricular Activities,Extra-Curricular Activities student corner,"The term extracurricular activities refers to, any activities that take place outside of the regular curriculum. The activities are voluntary, and students do not receive grades for academic credit for them. These activities are offered outside of college hours, but within the college setting. Extra-curricular activities are pursued to educate the whole person, academically, spiritually, socially, "
70,student_news.php,Student Corner News,student corner news,<blank>
71,gfm_scheme.php,GFM Scheme,GFM Scheme parent corner,"RGCER has introduced this scheme to have one to one interaction with students. For a batch of about fifteen students, a teacher is assigned the role of Teacher-Guardian. Teacher Guardian works as a friend, philosopher and guide for these students."
73,departmental_summary.php,Departmental Summary,Departmental Summary Facilities for students MBA Program Objectives Entrepreneurship Development Cell \r\nGerman language for Students up to three levels,"Jayawantrao Sawant College of Engineering (JSCOE) is approved by the All India Council of Technical Education (AICTE), New Delhi and Govt. Of Maharashtra affiliated to Savitribai Phule Pune University and accredited by NAAC. It was established by JSPM in 2004 at Hadapsar. "
74,faculty_strenghts_and_profile.php,Faculty Strength and Profile,Faculty Strength and Profile parent corner Brief About Faculty Strength and Their Profile Be Provided,"Information technology has very young and dynamic faculty members. They usually called as “Pillars of IT” because of their continuous motivation to the students to excel in academic as well as in extra-curricular activities. Department is comprised with the support of 16 well qualified, experienced and enthusiastic teaching faculties, 4 technical assistants and 2 peons. "
75,parents_meet.php,Parents Meet,Parents Meet corner \r\nmeeting,"MBA department organises Parent-teacher meeting bimonthly for each year of the curriculum. The main purpose of meet is to create a common platform, where teacher and parents come together to enrich the student’s educational experiences and discuss"
76,guidance_and_consuling.php,Guidance and Counseling,Guidance and Counseling parent corner,"TIME The Purpose of Guidance and Counseling cell is to impart specific skills and learning opportunities in a proactive, preventive manner, ensuring all students can achieve college success through academic, career and personal/social development experiences."
77,parents_news.php,Parents News,Parents News corner,Parents News
78,corporate_selection_procedure.php,Corporate Selection Procedure,Corporate Corner Corporate Selection Procedure,A scientific and logical selection procedure leads to scientific selection of candidates. The criterion finalized for selecting a candidate for a particular job varies from company to company. Common steps involved in selection procedure are
79,our_recruiters.php,Our Recruiters,Corporate Corner Our Recruiters placement,List of Our Recruiters
80,world_class_faculties.php,World Class Faculties,Corporate Corner World Class Faculties,World Class Faculties
81,alumni.php,Alumni,Corporate Corner Alumni,"Mr. HARSHAL SAKPAL\r\n\r\nDesignation : Software Engineer\r\nCompany : Financial Engines\r\nCountry : San Jose, California\r\nJoining Date : Jan 2015 to till date\r\nHIGHER Education : Master of Science (MS),"
82,corner_research.php,Ranking,Corporate Corner ranking,Ranking
83,corner_research.php,Research,Corporate Corner Research,Corporate Corner Research
84,all_round_development.php,All Round Development,All Round Development Corporate Corner Student development services,"College awards great importance to our student's whole person development, particularly in developing students analytical skills , communication skills, problem solving capabilities and appreciation for individual and teamwork."
85,recruiter_speak.php,Recruiters Speak,Corporate Corner Recruiters Speak ,“We have requited many colleges but the students here are very hard working and eager to get the knowledge and to learn new things .They got a very good cultural atmosphere and the competency was amongst the student. The project concept on which they are working are very innovative. The team work was getting reflected 
86,corporate_contact_us.php,Contacts,Corporate Corner Contacts,"Mr.Sachin Kangutkar\r\nTraining & Placement Officer\r\nPhone : (020) 26970889, 26970888, Ext 294 | 9822646293\r\nEmail : s.kangutkar@gmail.com"
87,career.php,Apply Now,career Apply Careers recruitment,<blank>
88,contact_us.php,Contact Us,Contact Us Address CONTACT INFO Website Get In Touch,"Institute\r\nJSPM's Jayawantrao Sawant College of Engineering, Hadapsar"

